Feature ID	Taxon
166	Bacteria;Actinomycetota;Actinomycetes;Frankiales;Frankiaceae;Frankia;
167	Bacteria;Actinomycetota;Actinomycetes;Frankiales;Frankiaceae;Frankia;
168	Bacteria;Actinomycetota;Actinomycetes;Frankiales;Frankiaceae;Frankia;
169	Bacteria;Actinomycetota;Actinomycetes;Frankiales;Frankiaceae;Frankia;
170	Bacteria;Actinomycetota;Actinomycetes;Frankiales;Frankiaceae;Frankia;
171	Bacteria;Actinomycetota;Actinomycetes;Frankiales;Frankiaceae;Frankia;
172	Bacteria;Actinomycetota;Actinomycetes;Frankiales;Frankiaceae;Frankia;
173	Bacteria;Actinomycetota;Actinomycetes;Frankiales;Frankiaceae;Frankia;
174	Bacteria;Actinomycetota;Actinomycetes;Frankiales;Frankiaceae;Frankia;
175	Bacteria;Actinomycetota;Actinomycetes;Frankiales;Frankiaceae;Frankia;
176	Bacteria;Actinomycetota;Actinomycetes;Frankiales;Frankiaceae;Frankia;
177	Bacteria;Actinomycetota;Actinomycetes;Frankiales;Frankiaceae;Frankia;
178	Bacteria;Actinomycetota;Actinomycetes;Frankiales;Frankiaceae;Frankia;
179	Bacteria;Actinomycetota;Actinomycetes;Frankiales;Frankiaceae;Frankia;
180	Bacteria;Actinomycetota;Actinomycetes;Frankiales;Frankiaceae;Frankia;
181	Bacteria;Actinomycetota;Actinomycetes;Frankiales;Frankiaceae;Frankia;
182	Bacteria;Actinomycetota;Actinomycetes;Frankiales;Frankiaceae;Frankia;
183	Bacteria;Actinomycetota;Actinomycetes;Frankiales;Frankiaceae;Frankia;
184	Bacteria;Actinomycetota;Actinomycetes;Frankiales;Frankiaceae;Frankia;
185	Bacteria;Actinomycetota;Actinomycetes;Frankiales;Frankiaceae;Frankia;
186	Bacteria;Actinomycetota;Actinomycetes;Frankiales;Frankiaceae;Frankia;
187	Bacteria;Actinomycetota;Actinomycetes;Frankiales;Frankiaceae;Frankia;
188	Bacteria;Actinomycetota;Actinomycetes;Frankiales;Frankiaceae;Frankia;
189	Bacteria;Actinomycetota;Actinomycetes;Frankiales;Frankiaceae;Frankia;
190	Bacteria;Actinomycetota;Actinomycetes;Frankiales;Frankiaceae;Frankia;
191	Bacteria;Actinomycetota;Actinomycetes;Frankiales;Frankiaceae;Frankia;
192	Bacteria;Actinomycetota;Actinomycetes;Frankiales;Frankiaceae;Frankia;
193	Bacteria;Actinomycetota;Actinomycetes;Frankiales;Frankiaceae;Frankia;
194	Bacteria;Actinomycetota;Actinomycetes;Frankiales;Frankiaceae;Frankia;
195	Bacteria;Actinomycetota;Actinomycetes;Frankiales;Frankiaceae;Frankia;
196	Bacteria;Actinomycetota;Actinomycetes;Frankiales;Frankiaceae;Frankia;
197	Bacteria;Actinomycetota;Actinomycetes;Frankiales;Frankiaceae;Frankia;
198	Bacteria;Actinomycetota;Actinomycetes;Frankiales;Frankiaceae;Frankia;
199	Bacteria;Actinomycetota;Actinomycetes;Frankiales;Frankiaceae;Frankia;
200	Bacteria;Actinomycetota;Actinomycetes;Frankiales;Frankiaceae;Frankia;
201	Bacteria;Actinomycetota;Actinomycetes;Frankiales;Frankiaceae;Frankia;
202	Bacteria;Actinomycetota;Actinomycetes;Frankiales;Frankiaceae;Frankia;
203	Bacteria;Actinomycetota;Actinomycetes;Frankiales;Frankiaceae;Frankia;
204	Bacteria;Actinomycetota;Actinomycetes;Frankiales;Frankiaceae;Frankia;
205	Bacteria;Actinomycetota;Actinomycetes;Frankiales;Frankiaceae;Frankia;
206	Bacteria;Actinomycetota;Actinomycetes;Frankiales;Frankiaceae;Frankia;
207	Bacteria;Actinomycetota;Actinomycetes;Frankiales;Frankiaceae;Frankia;
208	Bacteria;Actinomycetota;Actinomycetes;Frankiales;Frankiaceae;Frankia;
209	Bacteria;Actinomycetota;Actinomycetes;Frankiales;Frankiaceae;Frankia;
210	Bacteria;Actinomycetota;Actinomycetes;Frankiales;Frankiaceae;Frankia;
211	Bacteria;Actinomycetota;Actinomycetes;Frankiales;Frankiaceae;Frankia;
212	Bacteria;Actinomycetota;Actinomycetes;Frankiales;Frankiaceae;Frankia;
213	Bacteria;Actinomycetota;Actinomycetes;Frankiales;Frankiaceae;Frankia;
214	Bacteria;Actinomycetota;Actinomycetes;Frankiales;Frankiaceae;Frankia;
215	Bacteria;Actinomycetota;Actinomycetes;Frankiales;Frankiaceae;Frankia;
216	Bacteria;Actinomycetota;Actinomycetes;Frankiales;Frankiaceae;Frankia;
217	Bacteria;Actinomycetota;Actinomycetes;Frankiales;Frankiaceae;Frankia;
218	Bacteria;Actinomycetota;Actinomycetes;Frankiales;Frankiaceae;Frankia;
219	Bacteria;Actinomycetota;Actinomycetes;Frankiales;Frankiaceae;Frankia;
220	Bacteria;Actinomycetota;Actinomycetes;Frankiales;Frankiaceae;Frankia;
221	Bacteria;Actinomycetota;Actinomycetes;Frankiales;Frankiaceae;Frankia;
222	Bacteria;Actinomycetota;Actinomycetes;Frankiales;Frankiaceae;Frankia;
223	Bacteria;Actinomycetota;Actinomycetes;Frankiales;Frankiaceae;Frankia;
224	Bacteria;Actinomycetota;Actinomycetes;Frankiales;Frankiaceae;Frankia;
225	Bacteria;Actinomycetota;Actinomycetes;Frankiales;Frankiaceae;Frankia;
226	Bacteria;Actinomycetota;Actinomycetes;Frankiales;Frankiaceae;Frankia;
227	Bacteria;Actinomycetota;Actinomycetes;Frankiales;Frankiaceae;Frankia;
228	Bacteria;Actinomycetota;Actinomycetes;Frankiales;Frankiaceae;Frankia;
229	Bacteria;Actinomycetota;Actinomycetes;Frankiales;Frankiaceae;Frankia;
230	Bacteria;Actinomycetota;Actinomycetes;Frankiales;Frankiaceae;Frankia;
231	Bacteria;Actinomycetota;Actinomycetes;Frankiales;Frankiaceae;Frankia;
232	Bacteria;Actinomycetota;Actinomycetes;Frankiales;Frankiaceae;Frankia;
233	Bacteria;Pseudomonadota;Alphaproteobacteria;Hyphomicrobiales;Nitrobacteraceae;Bradyrhizobium;
234	Bacteria;Pseudomonadota;Alphaproteobacteria;Hyphomicrobiales;Nitrobacteraceae;Bradyrhizobium;
235	Bacteria;Pseudomonadota;Alphaproteobacteria;Hyphomicrobiales;Nitrobacteraceae;Bradyrhizobium;
